"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790546543541674169","Wed May 15 06:14:43 +0000 2024","0","@fellexandro bantu jawab kak buat dibikin rumah mewah di IKN buat para pejabat kita yg baik hati dan tidak suka korupsi itu lahh","1790626846427709462","","fellexandro","in","","0","0","0","https://x.com/grizzlybaka/status/1790626846427709462","1129110217394774016","grizzlybaka"
"1790312900726546546","Wed May 15 06:14:07 +0000 2024","1","@Boediantar4 @shenanaaz Faktanya ISTANA NEGARA yg ada belum bersertifikat peluang konflik sengketa bsa sja terjadi... Terkait IKN desain oleh Rudy Dodo dan yg bangun BUMN...belum lg yg bangun MABES AD AU AL POLRI lokal semua...asing hanya investor.. https://t.co/jx2fXvwABo","1790626698855363057","https://pbs.twimg.com/media/GNmVfdkasAA97lw.jpg","Boediantar4","in","East Borneo, Indonesia","0","1","1","https://x.com/Gemini_Borneo/status/1790626698855363057","1532886125958041601","Gemini_Borneo"
"1790595933635481852","Wed May 15 06:14:04 +0000 2024","0","@Joaquicordoba tiga tujuan utama IKN yakni simbol identitas nasional kota berkelanjutan di dunia serta sebagai penggerak ekonomi Indonesia di masa depan","1790626686285058320","","Joaquicordoba","in","","0","0","0","https://x.com/alema_aqsa/status/1790626686285058320","1697088654345416704","alema_aqsa"
"1790626403219878220","Wed May 15 06:12:57 +0000 2024","0","Simple : duitnya dipake buat bangun IKN","1790626403219878220","","","in","","0","0","1","https://x.com/david_ssnto/status/1790626403219878220","2346312793","david_ssnto"
"1790605065948139937","Wed May 15 06:11:22 +0000 2024","0","@prabowo @gibran_tweet Jkw punya tunggalan fenomena perpundahan ikn dan jalan tal serta pembubaran hti fpi. Maka prabowo punya tinggakan pengesahan uu perampasan aset koruptor","1790626003871740392","","prabowo","in","","0","0","0","https://x.com/nalarto/status/1790626003871740392","1315865946850959360","nalarto"
"1790595829952372957","Wed May 15 06:09:33 +0000 2024","0","@Joaquicordoba IKN Nusantara dapat meningkatkan konektivitas digital dan mempercepat transformasi digital di Indonesia","1790625547313446999","","Joaquicordoba","in","","0","0","0","https://x.com/erlyta_arsyfaa/status/1790625547313446999","1696734173447557120","erlyta_arsyfaa"
"1790192032411222058","Wed May 15 06:07:53 +0000 2024","0","@KotaNusantara Lapangan upacara IKN siap memeriahkan HUT RI","1790625128877093115","","KotaNusantara","in","","0","0","0","https://x.com/ayum_nahruya/status/1790625128877093115","1700054256102088704","ayum_nahruya"
"1790624632804159664","Wed May 15 06:05:55 +0000 2024","1","Trotoar Untuk Pejalan Kaki di #IKN Nusantara Dilengkapi Jalur Sepeda Tanaman Hijau dan Ramah Disabilitas https://t.co/1mt0poFJrt","1790624632804159664","https://pbs.twimg.com/media/GNmTnSZaMAA1GS3.jpg","","in","South Sumatra, Indonesia","0","0","0","https://x.com/Vigo__alfindo/status/1790624632804159664","901441285","Vigo__alfindo"
"1790624550050271593","Wed May 15 06:05:35 +0000 2024","0","Kontradiksi IKN https://t.co/ZzV9AvQdN6 https://t.co/ZzV9AvQdN6","1790624550050271593","","","in","indonesia","0","0","0","https://x.com/posaktualcom/status/1790624550050271593","1636627729675337734","posaktualcom"
"1790624101977186475","Wed May 15 06:03:48 +0000 2024","7","Apakah kita akan terus liat video2 kayak gini untuk beberapa tahun kedepan? :( kemaren ikan sekarang jagung terus korupsi yang di ikn. Besok2 apa?","1790624101977186475","","","in","","0","0","0","https://x.com/sijakbutodaaa/status/1790624101977186475","878515410353528832","sijakbutodaaa"
"1790546543541674169","Wed May 15 06:03:30 +0000 2024","0","@fellexandro terus uang pajaknya dipake beli kendaraan dinas.. bikin rumah menteri di ikn..","1790624023434670433","","fellexandro","in","Bandung","0","0","0","https://x.com/indrianir/status/1790624023434670433","125525152","indrianir"
"1790623757557710878","Wed May 15 06:02:26 +0000 2024","1","#IKN Menjadi Yang Pertama Miliki Tol Bawah Laut di Indonesia https://t.co/VukH3ylQKa","1790623757557710878","https://pbs.twimg.com/media/GNmS0S0b0AEbDIH.jpg","","in","South Sumatra, Indonesia","0","0","0","https://x.com/Vigo__alfindo/status/1790623757557710878","901441285","Vigo__alfindo"
"1790623495061459419","Wed May 15 06:01:24 +0000 2024","1","Utamakan Keamanan Pemerintah di #IKN Pemerintah Upayakan Bangun Sistem Pertahanan Cerdas https://t.co/c0cUpN4tkX","1790623495061459419","https://pbs.twimg.com/media/GNmSlFPaEAAAgtn.jpg","","in","South Sumatra, Indonesia","0","0","0","https://x.com/Vigo__alfindo/status/1790623495061459419","901441285","Vigo__alfindo"
"1790623157399048379","Wed May 15 06:00:03 +0000 2024","0","Dipengaruhi IKN Nilai Investasi di Kalsel capai Rp7 Triliun Lebih #investasi #kalsel #ikn https://t.co/SSiAJRJw3e","1790623157399048379","","","in","Indonesia","0","0","0","https://x.com/prokaldotco/status/1790623157399048379","3312427500","prokaldotco"
"1790622828909461908","Wed May 15 05:58:45 +0000 2024","0","IKN Menjadi Yang Pertama Miliki Tol Bawah Laut di Indonesia https://t.co/x81v70Io25","1790622828909461908","https://pbs.twimg.com/media/GNmR-RtaEAA2vII.jpg","","in","Palembang, South Sumatra","0","0","0","https://x.com/allegory1318/status/1790622828909461908","1549650487573524481","allegory1318"
"1790622657895100651","Wed May 15 05:58:04 +0000 2024","0","Progres Lapangan Upacara IKN 90% Untuk Sambut HUT RI https://t.co/zkDGDb9DDI","1790622657895100651","https://pbs.twimg.com/media/GNmR0R7bAAE1s-z.jpg","","in","Palembang, South Sumatra","0","0","0","https://x.com/allegory1318/status/1790622657895100651","1549650487573524481","allegory1318"
"1790622517734101129","Wed May 15 05:57:31 +0000 2024","0","Utamakan Keamanan Pemerintahan di IKN pemerintah Upayakan Bangun Sistem Pertahanan Cerdas https://t.co/fdlVe4bnqn","1790622517734101129","https://pbs.twimg.com/media/GNmRsMEbIAAMgwi.jpg","","in","Palembang, South Sumatra","0","0","0","https://x.com/allegory1318/status/1790622517734101129","1549650487573524481","allegory1318"
"1790614266980278486","Wed May 15 05:56:07 +0000 2024","0","@unilubis Dudung dukung ikn ga ya? Jadian beliau satgas baliho di ikn","1790622168679927906","","unilubis","in","","0","1","0","https://x.com/sasttr0/status/1790622168679927906","451134294","sasttr0"
