Unnamed: 0,full_text,created_at,cleaned
1271,@lolipowpy mantap bgt #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:05:42 +0000 2023, mantap bgt  IbukotaBaru SolusiMasaDepan
1272,@iamntrovert @jokowi Iyaa perpindahan ikn ke kalimantan sudah ada dalam uu #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:05:30 +0000 2023,  Iyaa perpindahan ikn ke kalimantan sudah ada dalam uu  IbukotaBaru SolusiMasaDepan
1273,@Sekjebn iya perlu belajar sejarah lagi nih #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:05:23 +0000 2023, iya perlu belajar sejarah lagi nih  IbukotaBaru SolusiMasaDepan
1274,@cutebii_ Kalau masih ada yang belum paham sama IKN mending belajar sejarah lagi deh. #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:05:16 +0000 2023, Kalau masih ada yang belum paham sama IKN mending belajar sejarah lagi deh  IbukotaBaru SolusiMasaDepan
1275,@transfter pembangunan IbukotaBaru SolusiMasaDepan untuk indonesia . ikn hadir untuk kesejahteraan seluruh rakyat indonesia #IKNSolusiMasaDepan,Mon Dec 04 08:05:06 +0000 2023, pembangunan IbukotaBaru SolusiMasaDepan untuk indonesia  ikn hadir untuk kesejahteraan seluruh rakyat indonesia 
1276,@ireneclaire202 @jokowi Bener nih setuju banget kalo #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:04:53 +0000 2023,  Bener nih setuju banget kalo  IbukotaBaru SolusiMasaDepan
1277,@hazzzelnude betul banget sudah direncakan dr dulu loh #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:04:41 +0000 2023, betul banget sudah direncakan dr dulu loh  IbukotaBaru SolusiMasaDepan
1278,@mak_enah Bener banget bakal jadi solusi pemerataan di masa depan nih #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:04:33 +0000 2023, Bener banget bakal jadi solusi pemerataan di masa depan nih  IbukotaBaru SolusiMasaDepan
1279,@mhmmdsairaji betul banget pasti kalimantan juga bakal pebih maju #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:04:28 +0000 2023, betul banget pasti kalimantan juga bakal pebih maju  IbukotaBaru SolusiMasaDepan
1280,ibu kota itu emang harus pindah ke IKN guys soalnya udah ada UU nya. selain itu IbukotaBaru SolusiMasaDepan demi seluruh rakyat untuk indonesia yang lebih baik lagi #IKNSolusiMasaDepan https://t.co/uW7vYTkHAW,Mon Dec 04 08:04:04 +0000 2023,ibu kota itu emang harus pindah ke IKN guys soalnya udah ada UU nya selain itu IbukotaBaru SolusiMasaDepan demi seluruh rakyat untuk indonesia yang lebih baik lagi  
1281,@cangkaruk_ @jokowi emang #IKNSolusiMasaDepan kalo di kalimantan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:03:57 +0000 2023,  emang  kalo di kalimantan IbukotaBaru SolusiMasaDepan
1282,Eks mendag aja menyebutkan kalo #IKNSolusiMasaDepan loh dan kalimantan sebagai IbukotaBaru SolusiMasaDepan sudah dicanangkan sejak zaman soekarno https://t.co/rz8g3StIky,Mon Dec 04 08:03:55 +0000 2023,Eks mendag aja menyebutkan kalo  loh dan kalimantan sebagai IbukotaBaru SolusiMasaDepan sudah dicanangkan sejak zaman soekarno 
1283,@mhmmdsairaji makanya perlu belajar sejarah #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:03:30 +0000 2023, makanya perlu belajar sejarah  IbukotaBaru SolusiMasaDepan
1284,kalau masih ada yg bilang Ibu Kota harus di Jakarta aja mending belajar sejarah lagi deh #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/GONa5sfTuL,Mon Dec 04 08:03:07 +0000 2023,kalau masih ada yg bilang Ibu Kota harus di Jakarta aja mending belajar sejarah lagi deh  IbukotaBaru SolusiMasaDepan 
1285,@NWolfe68334 Menurutku sudah bener kok #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:02:25 +0000 2023, Menurutku sudah bener kok  IbukotaBaru SolusiMasaDepan
1286,@BrandesMea22858 Iya setuju #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 08:02:41 +0000 2023, Iya setuju  IbukotaBaru SolusiMasaDepan
