created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Nov 05 09:03:47 +0000 2022;1588819353646288898;"Otorita IKN Jalin Kerja Sama dengan ITB, Ada 5 Poin yang Jadi Kesepahaman   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #OtoritaIKN  https://t.co/54QPPNUcdR lewat @tribunkaltim";0;0;0;0;in;103551225;1588819353646288898;tribunkaltim;https://twitter.com/tribunkaltim/status/1588819353646288898
Sat Nov 05 05:39:00 +0000 2022;1588767817414766593;"Cara Masuk Jagat, Metaverse IKN Nusantara, bisa Kunjungi Istana Presiden hingga Monumen Titik Nol   #Metaverse #Jagat #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/xEQPaDfvL2 lewat @tribunkaltim";0;0;0;0;in;103551225;1588767817414766593;tribunkaltim;https://twitter.com/tribunkaltim/status/1588767817414766593
Sat Nov 05 01:09:00 +0000 2022;1588699869711155200;"Wapres Temui Bos Dubai Holding, Maruf Amin Ajak Kerja Sama Industri Halal hingga IKN Nusantara   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Wapres #MarufAmin #DubaiHolding  https://t.co/dFmUgQe5m0 lewat @tribunkaltim";0;0;0;0;in;103551225;1588699869711155200;tribunkaltim;https://twitter.com/tribunkaltim/status/1588699869711155200
Fri Nov 04 18:53:50 +0000 2022;1588605458734284801;"Cara Masuk Jagat, Metaverse IKN Nusantara, bisa Kunjungi Istana Presiden hingga Monumen Titik Nol   #Metaverse #Jagat #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/xEQPaDxEZa lewat @tribunkaltim";0;0;0;0;in;103551225;1588605458734284801;tribunkaltim;https://twitter.com/tribunkaltim/status/1588605458734284801
Fri Nov 04 08:53:59 +0000 2022;1588454500221988867;"Wapres Temui Bos Dubai Holding, Maruf Amin Ajak Kerja Sama Industri Halal hingga IKN Nusantara   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Wapres #MarufAmin #DubaiHolding  https://t.co/dFmUgQeDby lewat @tribunkaltim";0;0;0;0;in;103551225;1588454500221988867;tribunkaltim;https://twitter.com/tribunkaltim/status/1588454500221988867
Thu Nov 03 07:57:47 +0000 2022;1588077970807091200;"Pemerintah menargetkan sekitar 200.000 orang akan mulai menghuni Ibu Kota Nusantara (IKN) pada 2024.  #otoritaIKN #investasi #insentifpajak #ibukotanusantara #ASN #nasional https://t.co/S4vMD98CJY";0;0;0;0;in;743982727095947265;1588077970807091200;DDTCNews;https://twitter.com/DDTCNews/status/1588077970807091200
Thu Nov 03 04:02:33 +0000 2022;1588018771020500997;"Keliling IKN via Metaverse di Jagat Nusantara, Seru, nih!  Baca artikel selengkapnya #duniavirtual #generasimudaindonesia #ibukotanusantara #IKNdalambentukmetaverse #Metaverse #sampaijauh https://t.co/YXYO4ssBAo";0;0;0;0;in;1299264709086990337;1588018771020500997;SampaiJauhcom;https://twitter.com/SampaiJauhcom/status/1588018771020500997
Thu Nov 03 01:09:00 +0000 2022;1587975094273396736;"Presiden Jokowi Optimis Pembangunan Gedung-gedung oleh Pihak Swasta di IKN akan Tampak Januari 2023   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PresidenJokowi #JokoWidodo   https://t.co/cJ6l20VYdB lewat @tribunkaltim";0;0;0;0;in;103551225;1587975094273396736;tribunkaltim;https://twitter.com/tribunkaltim/status/1587975094273396736
Thu Nov 03 00:13:27 +0000 2022;1587961113714774017;"Salam hangat dr IKN(IbukotaNusantara) https://t.co/4y3WE7kLEY";0;0;0;0;in;719857756363223042;1587961113714774017;mydha81;https://twitter.com/mydha81/status/1587961113714774017
Wed Nov 02 13:09:00 +0000 2022;1587793900386803713;"Anggaran Pembangunan Infrastruktur Dasar IKN Membengkak Jadi Rp 58 T, Penjelasan Menteri PUPR   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/FuhWTL9MYU lewat @tribunkaltim";0;0;0;0;in;103551225;1587793900386803713;tribunkaltim;https://twitter.com/tribunkaltim/status/1587793900386803713
Wed Nov 02 09:11:49 +0000 2022;1587734211485540353;"Presiden Jokowi Optimis Pembangunan Gedung-gedung oleh Pihak Swasta di IKN akan Tampak Januari 2023   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PresidenJokowi #JokoWidodo   https://t.co/cJ6l20VYdB lewat @tribunkaltim";0;0;0;0;in;103551225;1587734211485540353;tribunkaltim;https://twitter.com/tribunkaltim/status/1587734211485540353
Tue Nov 01 13:44:32 +0000 2022;1587440453569245185;"Anggaran Pembangunan Infrastruktur Dasar IKN Membengkak Jadi Rp 58 T, Penjelasan Menteri PUPR   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/FuhWTKSbAk lewat @tribunkaltim";0;0;0;0;in;103551225;1587440453569245185;tribunkaltim;https://twitter.com/tribunkaltim/status/1587440453569245185
